dataset,candidate,pooled_mean,within_variance,between_variance,min_rank,max_rank,rank_range,total_variance,pooled_se,rubin_df,critical_value,lower_95,upper_95,pooled_total,pooled_rank
scores_4_neg,Marine.Le.Pen,-0.7644396551724137,4.615945017008547e-4,2.2991602259215816e-5,11,11,0,4.891844244119136e-4,0.022117513974493463,1257.4892033939725,1.961852284965998,-0.8078309505010411,-0.7210483598437863,-709.4,11
scores_4_neg,Eric.Zemmour,-0.8137931034482758,4.2382331738940077e-4,3.6229191438762515e-5,12,12,0,4.6729834711591576e-4,0.02161708461185078,462.1348346203276,1.9651105144215433,-0.856273063710164,-0.7713131431863877,-755.1999999999999,12
scores_4_pos,Jean.Luc.Mélenchon,2.2179431072210063,0.0011352196333886287,8.941867090576939e-5,1,1,0,0.001242522038475552,0.03524942607299517,536.3512283144798,1.9643967935035966,2.1486992476703723,2.2871869667716402,2027.1999999999998,1
scores_4_pos,Yannick.Jadot,1.825382932166302,0.0010364820352632487,7.54133369084765e-6,2,2,0,0.001045531635692266,0.03233468162348697,53391.92014054862,1.9600084168078709,1.7620066840294648,1.8887591803031392,1668.4,2
scores_4_pos,Philippe.Poutou,1.4698030634573307,0.0013933084352065206,2.403650484321264e-4,3,3,0,0.0016817464933250722,0.04100910256668722,135.98027865385052,1.9775633510698367,1.388704965161186,1.5509011617534754,1343.4000000000003,3
scores_4_pos,Fabien.Roussel,1.2592997811816193,8.818943312083476e-4,2.872889025084998e-5,4,4,0,9.163689995093675e-4,0.03027158733052113,2826.1849292542975,1.9608037279770267,1.1999431398921514,1.3186564224710873,1151,4
scores_4_pos,Anne.Hidalgo,1.1971553610503283,8.87001339847686e-4,1.1754904260973536e-4,5,5,0,0.0010280601909793685,0.03206337772255706,212.4694000804069,1.9711920120643454,1.133952287003822,1.2603584350968347,1094.2,5
scores_4_pos,Nathalie.Arthaud,0.9382932166301969,8.667120199940906e-4,8.774281897448036e-5,6,6,0,9.72003402763467e-4,0.03117696910803658,340.88657936197984,1.9669474602331483,0.8769697564253771,0.9996166768350168,857.6,6
scores_4_pos,Emmanuel.Macron,0.8908096280087527,0.0011754204131939215,4.871940971707318e-5,7,7,0,0.0012338837048544093,0.035126680811804714,1781.730118186907,1.961296316605999,0.8219157983179656,0.9597034576995399,814.2,7
scores_4_pos,Jean.Lassalle,0.7371991247264771,7.963322699535789e-4,2.055312690029605e-4,8,8,0,0.0010429697927571316,0.03229504285114252,71.52949391929802,1.9936876170129787,0.6728128977032507,0.8015853517497035,673.8000000000001,8
